iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
OWID_CYN,Asia,Northern Cyprus,2021-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OWID_CYN,Asia,Northern Cyprus,2021-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994,,,,,2601,,,,,,,,,,,,,,,,,,,,,,,0
OWID_CYN,Asia,Northern Cyprus,2021-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994,,,,,2601,,,,,,,,,,,,,,,,,,,,,,,0
OWID_CYN,Asia,Northern Cyprus,2021-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994,,,,,2601,,,,,,,,,,,,,,,,,,,,,,,0
OWID_CYN,Asia,Northern Cyprus,2021-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994,,,,,2601,,,,,,,,,,,,,,,,,,,,,,,0
OWID_CYN,Asia,Northern Cyprus,2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4968,,,,,994,1.3,,,,2601,,,,,,,,,,,,,,,,,,,,,,,0
OWID_CYN,Asia,Northern Cyprus,2021-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163,,,,,3043,,,,,,,,,,,,,,,,,,,,,,,0
OWID_CYN,Asia,Northern Cyprus,2021-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1284,,,,,3359,,,,,,,,,,,,,,,,,,,,,,,0
OWID_CYN,Asia,Northern Cyprus,2021-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,,,,,1429,2.88,,,,3739,,,,,,,,,,,,,,,,,,,,,,,0
OWID_CYN,Asia,Northern Cyprus,2021-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1488,,,,,3893,,,,,,,,,,,,,,,,,,,,,,,0
OWID_CYN,Asia,Northern Cyprus,2021-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1546,,,,,4045,,,,,,,,,,,,,,,,,,,,,,,0
OWID_CYN,Asia,Northern Cyprus,2021-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1605,,,,,4199,,,,,,,,,,,,,,,,,,,,,,,0
