iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
MMR,Asia,Myanmar,2020-03-27,8,8,,,,,0.148,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312,,,,,0
MMR,Asia,Myanmar,2020-03-28,8,0,,,,,0.148,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312,,,,,0.0
MMR,Asia,Myanmar,2020-03-29,10,2,,,,,0.185,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312,,,,,0.0
MMR,Asia,Myanmar,2020-03-30,14,4,,,,,0.258,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312,,,,,0.0
MMR,Asia,Myanmar,2020-03-31,15,1,,1,1,,0.277,0.018,,0.018,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312,,,,,0.0
MMR,Asia,Myanmar,2020-04-01,15,0,2.143,1,0,,0.277,0.0,0.04,0.018,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312,,,,,0.0
MMR,Asia,Myanmar,2020-04-02,20,5,2.857,1,0,,0.369,0.092,0.053,0.018,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312,,,,,0.0
MMR,Asia,Myanmar,2020-04-03,20,0,1.714,1,0,,0.369,0.0,0.032,0.018,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312,,,,,0.0
MMR,Asia,Myanmar,2020-04-04,21,1,1.857,1,0,,0.388,0.018,0.034,0.018,0.0,,,,,,,,,,,1183,,0.022,,,,,,samples tested,,,,,,,,,,,,,,69.44,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312,,,,,0.0
MMR,Asia,Myanmar,2020-04-05,21,0,1.571,1,0,0.143,0.388,0.0,0.029,0.018,0.0,0.003,,,,,,,,,,1246,63,0.023,0.001,,,,,samples tested,,,,,,,,,,,,,,69.44,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312,,,,,0.0
