iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
JOR,Asia,Jordan,2020-03-03,1,1,,,,,0.089,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875,,,,,0
JOR,Asia,Jordan,2020-03-04,1,0,,,,,0.089,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875,,,,,0.0
JOR,Asia,Jordan,2020-03-05,1,0,,,,,0.089,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875,,,,,0.0
JOR,Asia,Jordan,2020-03-06,1,0,,,,,0.089,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875,,,,,0.0
JOR,Asia,Jordan,2020-03-07,1,0,,,,,0.089,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875,,,,,0.0
JOR,Asia,Jordan,2020-03-08,1,0,0.143,,,,0.089,0.0,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875,,,,,0.0
JOR,Asia,Jordan,2020-03-09,1,0,0.143,,,,0.089,0.0,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875,,,,,0.0
JOR,Asia,Jordan,2020-03-10,1,0,0.0,,,,0.089,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875,,,,,0.0
JOR,Asia,Jordan,2020-03-11,1,0,0.0,,,,0.089,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875,,,,,0.0
JOR,Asia,Jordan,2020-03-12,1,0,0.0,,,,0.089,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875,,,,,0.0
