iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
AUT,Europe,Austria,2020-02-25,2,2,,,,,0.224,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0
AUT,Europe,Austria,2020-02-26,1,,,,,,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-02-27,1,0,,,,,0.112,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-02-28,1,0,,,,,0.112,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-02-29,3,2,,,,,0.336,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-01,7,4,,,,,0.783,0.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,-807.0,-4.9,-4.02,-90.4497403184593,0.0
AUT,Europe,Austria,2020-03-02,8,1,1.286,,,,0.895,0.112,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-03,12,4,1.571,,,,1.342,0.447,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-04,17,5,2.286,,,,1.902,0.559,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-05,23,6,3.143,,,,2.573,0.671,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-06,37,14,5.143,,,,4.139,1.566,0.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-07,46,9,6.143,,,,5.146,1.007,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-08,75,29,9.714,,,,8.39,3.244,1.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,-845.8,-4.63,-2.19,-94.7985010673518,0.0
AUT,Europe,Austria,2020-03-09,98,23,12.857,,,,10.962,2.573,1.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-10,126,28,16.286,,,,14.095,3.132,1.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-11,148,22,18.714,,,,16.556,2.461,2.093,,,,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-12,203,55,25.714,,,,22.708,6.152,2.876,,,,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-13,312,109,39.286,,,,34.901,12.193,4.395,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-14,409,97,51.857,1,1,,45.751,10.851,5.801,0.112,0.112,,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-15,591,182,73.714,1,0,,66.11,20.359,8.246,0.112,0.0,,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,-862.4,-4.32,-0.96,-96.6590533465171,0.0
AUT,Europe,Austria,2020-03-16,801,210,100.429,2,1,,89.601,23.491,11.234,0.224,0.112,,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-17,999,198,124.714,3,1,,111.75,22.149,13.951,0.336,0.112,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-18,1225,226,153.857,5,2,,137.03,25.281,17.211,0.559,0.224,,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-19,1571,346,195.429,7,2,1.0,175.735,38.704,21.861,0.783,0.224,0.112,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-20,1943,372,233.0,12,5,1.714,217.347,41.613,26.064,1.342,0.559,0.192,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-21,2398,455,284.143,15,3,2.0,268.244,50.897,31.785,1.678,0.336,0.224,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-22,2909,511,331.143,20,5,2.714,325.405,57.161,37.042,2.237,0.559,0.304,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,-651.6,-3.02,13.03,-73.0322810303694,0.0
AUT,Europe,Austria,2020-03-23,3455,546,379.143,26,6,3.429,386.482,61.076,42.412,2.908,0.671,0.384,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-24,4073,618,439.143,34,8,4.429,455.612,69.13,49.123,3.803,0.895,0.495,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-25,4760,687,505.0,46,12,5.857,532.461,76.849,56.49,5.146,1.342,0.655,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-26,5483,723,558.857,56,10,7.0,613.337,80.876,62.515,6.264,1.119,0.783,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-27,6237,754,613.429,65,9,7.571,697.681,84.344,68.619,7.271,1.007,0.847,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-28,7293,1056,699.286,81,16,9.429,815.807,118.126,78.223,9.061,1.79,1.055,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-29,8100,807,741.571,101,20,11.571,906.079,90.272,82.953,11.298,2.237,1.294,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,-560.6,-2.41,5.47,-62.8328679337401,0.0
AUT,Europe,Austria,2020-03-30,8717,617,751.714,120,19,13.429,975.098,69.019,84.088,13.423,2.125,1.502,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-03-31,9264,547,741.571,134,14,14.286,1036.286,61.188,82.953,14.989,1.566,1.598,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-04-01,9937,673,739.571,155,21,15.571,1111.569,75.283,82.73,17.339,2.349,1.742,1.16,215,24.05,1071.0,119.804,,,,,16834,,1.887,,,,,,tests performed,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-04-02,10486,549,714.714,174,19,16.857,1172.981,61.412,79.949,19.464,2.125,1.886,1.06,219,24.498,1042.0,116.56,,,,,92190,75356,10.333,8.446,,,,,tests performed,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-04-03,11035,549,685.429,185,11,17.143,1234.393,61.412,76.673,20.694,1.23,1.918,0.96,245,27.406,1074.0,120.139,,,,,98343,6153,11.022,0.69,,,,,tests performed,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-04-04,11473,438,597.143,205,20,17.714,1283.388,48.995,66.797,22.932,2.237,1.982,0.88,245,27.406,1071.0,119.804,,,,,104134,5791,11.671,0.649,,,,,tests performed,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-04-05,11884,411,540.571,223,18,17.429,1329.363,45.975,60.469,24.945,2.014,1.95,0.82,244,27.294,956.0,106.94,,,,,108416,4282,12.151,0.48,,,,,tests performed,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,-344.2,-1.38,13.49,-38.5784394270306,0.0
AUT,Europe,Austria,2020-04-06,12137,253,488.571,243,20,17.571,1357.664,28.301,54.652,27.182,2.237,1.966,0.78,250,27.965,1074.0,120.139,,,,,111296,2880,12.474,0.323,,,,,tests performed,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-04-07,12320,183,436.571,265,22,18.714,1378.135,20.471,48.836,29.643,2.461,2.093,0.74,243,27.182,1100.0,123.048,,,,,115235,3939,12.916,0.441,,,,,tests performed,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-04-08,12626,306,384.143,296,31,20.143,1412.365,34.23,42.971,33.111,3.468,2.253,0.71,267,29.867,1096.0,122.6,,,,,120755,5520,13.534,0.619,14846,1.664,,,tests performed,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-04-09,12915,289,347.0,325,29,21.571,1444.693,32.328,38.816,36.355,3.244,2.413,0.68,266,29.755,1086.0,121.482,,,,,126287,5532,14.154,0.62,4871,0.546,,,tests performed,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-04-10,13205,290,310.0,342,17,22.429,1477.133,32.44,34.677,38.257,1.902,2.509,0.66,261,29.196,1032.0,115.441,,,,,134743,8456,15.102,0.948,5200,0.583,,,tests performed,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-04-11,13481,276,286.857,364,22,22.714,1508.006,30.874,32.088,40.718,2.461,2.541,0.63,245,27.406,1035.0,115.777,,,,,140975,6232,15.801,0.698,5263,0.59,,,tests performed,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-04-12,13838,357,279.143,387,23,23.429,1547.941,39.935,31.225,43.29,2.573,2.621,0.61,243,27.182,1035.0,115.777,,,,,144877,3902,16.238,0.437,5209,0.584,,,tests performed,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,-115.6,-0.44,14.6,-12.9566170765971,0.0
AUT,Europe,Austria,2020-04-13,14041,203,272.0,404,17,23.0,1570.649,22.708,30.426,45.192,1.902,2.573,0.59,239,26.735,981.0,109.736,,,,,148412,3535,16.634,0.396,5302,0.594,,,tests performed,,,,,,,,,,,,,,81.48,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-04-14,14152,111,261.714,416,12,21.571,1583.066,12.417,29.276,46.534,1.342,2.413,0.56,243,27.182,1002.0,112.085,,,,,151796,3384,17.014,0.379,5223,0.585,,,tests performed,,,,,,,,,,,,,,77.78,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-04-15,14239,87,230.429,437,21,20.143,1592.798,9.732,25.776,48.884,2.349,2.253,0.52,232,25.952,1001.0,111.973,,,,,156801,5005,17.574,0.561,5149,0.577,,,tests performed,,,,,,,,,,,,,,77.78,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-04-16,14389,150,210.571,450,13,17.857,1609.577,16.779,23.555,50.338,1.454,1.998,0.5,238,26.623,967.0,108.17,,,,,162816,6015,18.249,0.674,5218,0.585,,,tests performed,,,,,,,,,,,,,,77.78,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-04-17,14518,129,187.571,466,16,17.714,1624.007,14.43,20.982,52.128,1.79,1.982,0.48,227,25.393,909.0,101.682,,,,,169272,6456,18.972,0.724,4933,0.553,,,tests performed,,,,,,,,,,,,,,77.78,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-04-18,14629,111,164.0,489,23,17.857,1636.424,12.417,18.345,54.7,2.573,1.998,0.46,208,23.267,855.0,95.642,,,,,175932,6660,19.719,0.746,4994,0.56,,,tests performed,,,,,,,,,,,,,,77.78,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.0
AUT,Europe,Austria,2020-04-19,14729,100,127.286,502,13,16.429,1647.61,11.186,14.238,56.155,1.454,1.838,0.46,204,22.82,817.0,91.391,,,,,179244,3312,20.09,0.371,4910,0.55,,,tests performed,,,,,,,,,,,,,,77.78,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,32.8000000000001,0.12,9.62,3.67627197329055,0.01
AUT,Europe,Austria,2020-04-20,14789,60,106.857,520,18,16.571,1654.321,6.712,11.953,58.168,2.014,1.854,0.46,194,21.701,805.0,90.049,,,,,182949,3705,20.505,0.415,4934,0.553,,,tests performed,,,,,,,,,,,,,,77.78,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.01
AUT,Europe,Austria,2020-04-21,14836,47,97.714,537,17,17.286,1659.579,5.257,10.93,60.07,1.902,1.934,0.46,196,21.925,756.0,84.567,,,,,189018,6069,21.185,0.68,5317,0.596,,,tests performed,,,,,,,,,,,,,,77.78,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.01
AUT,Europe,Austria,2020-04-22,14904,68,95.0,546,9,15.571,1667.186,7.607,10.627,61.076,1.007,1.742,0.47,176,19.688,700.0,78.303,,,,,201794,12776,22.617,1.432,6428,0.72,,,tests performed,,,,,,,,,,,,,,77.78,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.01
AUT,Europe,Austria,2020-04-23,14974,70,83.571,564,18,16.286,1675.016,7.83,9.348,63.09,2.014,1.822,0.47,169,18.905,677.0,75.73,,,,,205835,4041,23.07,0.453,6146,0.689,,,tests performed,,,,,,,,,,,,,,75.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.01
AUT,Europe,Austria,2020-04-24,15047,73,75.571,576,12,15.714,1683.182,8.166,8.454,64.432,1.342,1.758,0.48,156,17.45,651.0,72.822,,,,,212686,6851,23.838,0.768,6202,0.695,,,tests performed,,,,,,,,,,,,,,75.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.01
AUT,Europe,Austria,2020-04-25,15107,60,68.286,584,8,13.571,1689.893,6.712,7.639,65.327,0.895,1.518,0.49,148,16.556,608.0,68.012,,,,,221089,8403,24.78,0.942,6451,0.723,,,tests performed,,,,,,,,,,,,,,75.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.01
AUT,Europe,Austria,2020-04-26,15186,79,65.286,592,8,12.857,1698.73,8.837,7.303,66.222,0.895,1.438,0.51,145,16.22,594.0,66.446,,,,,227631,6542,25.513,0.733,6912,0.775,,,tests performed,,,,,,,,,,,,,,75.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,123.4,0.42,6.08,13.8308524848797,0.01
AUT,Europe,Austria,2020-04-27,15248,62,65.571,606,14,12.286,1705.666,6.935,7.335,67.788,1.566,1.374,0.53,140,15.661,579.0,64.768,,,,,232537,4906,26.063,0.55,7084,0.794,,,tests performed,,,,,,,,,,,,,,75.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.01
AUT,Europe,Austria,2020-04-28,15283,35,63.857,615,9,11.143,1709.581,3.915,7.143,68.795,1.007,1.246,0.55,136,15.213,561.0,62.754,,,,,239578,7041,26.852,0.789,7223,0.81,,,tests performed,,,,,,,,,,,,,,75.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.01
AUT,Europe,Austria,2020-04-29,15353,70,64.143,621,6,10.714,1717.411,7.83,7.175,69.466,0.671,1.199,0.56,131,14.654,517.0,57.832,,,,,247754,8176,27.769,0.916,6566,0.736,,,tests performed,,,,,,,,,,,,,,75.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.01
AUT,Europe,Austria,2020-04-30,15402,49,61.143,635,14,10.143,1722.893,5.481,6.84,71.032,1.566,1.135,0.56,128,14.318,500.0,55.931,,,,,256399,8645,28.738,0.969,7223,0.81,,,tests performed,,,,,,,,,,,,,,75.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.01
AUT,Europe,Austria,2020-05-01,15463,61,59.429,642,7,9.429,1729.716,6.824,6.648,71.815,0.783,1.055,0.56,124,13.871,472.0,52.799,,,,,264079,7680,29.598,0.861,7342,0.823,,,tests performed,,,,,,,,,,,,,,67.59,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.01
AUT,Europe,Austria,2020-05-02,15517,54,58.571,649,7,9.286,1735.757,6.041,6.552,72.598,0.783,1.039,0.56,114,12.752,428.0,47.877,,,,,269619,5540,30.219,0.621,6933,0.777,,,tests performed,,,,,,,,,,,,,,64.81,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.01
AUT,Europe,Austria,2020-05-03,15554,37,52.571,653,4,8.714,1739.896,4.139,5.881,73.046,0.447,0.975,0.57,114,12.752,422.0,47.206,,,,,274355,4736,30.75,0.531,6675,0.748,,,tests performed,,,,,,,,,,,,,,64.81,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,111.6,0.36,-0.8,12.5082912261959,0.01
AUT,Europe,Austria,2020-05-04,15582,28,47.714,657,4,7.286,1743.028,3.132,5.337,73.493,0.447,0.815,0.59,111,12.417,420.0,46.982,,,,,279071,4716,31.279,0.529,6648,0.745,,,tests performed,,,,,,,,,,,,,,64.81,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.01
AUT,Europe,Austria,2020-05-05,15594,12,44.429,666,9,7.286,1744.37,1.342,4.97,74.5,1.007,0.815,0.61,104,11.634,418.0,46.758,,,,,285883,6812,32.042,0.763,6615,0.741,,,tests performed,,,,,,,,,,,,,,64.81,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.01
AUT,Europe,Austria,2020-05-06,15624,30,38.714,670,4,7.0,1747.726,3.356,4.331,74.947,0.447,0.783,0.64,97,10.851,418.0,46.758,,,,,292254,6371,32.756,0.714,6357,0.713,,,tests performed,,,,,,,,,,,,,,64.81,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.01
AUT,Europe,Austria,2020-05-07,15678,54,39.429,673,3,5.429,1753.766,6.041,4.411,75.283,0.336,0.607,0.68,92,10.291,360.0,40.27,,,,,297894,5640,33.388,0.632,5928,0.664,,,tests performed,,,,,,,,,,,,,,64.81,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.01
AUT,Europe,Austria,2020-05-08,15724,46,37.286,680,7,5.429,1758.912,5.146,4.171,76.066,0.783,0.607,0.71,81,9.061,339.0,37.921,,,,,304069,6175,34.08,0.692,5713,0.64,,,tests performed,,,,,,,,,,,,,,64.81,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.01
AUT,Europe,Austria,2020-05-09,15763,39,35.143,683,3,4.857,1763.275,4.363,3.931,76.401,0.336,0.543,0.74,79,8.837,309.0,34.565,,,,,311690,7621,34.935,0.854,6010,0.674,,,tests performed,,,,,,,,,,,,,,64.81,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,,0.01
